go:0000001 | distribution_of | mitochondria
go:0000177 | restricts_to | linear_single-stranded_rnas
go:0000178 | restricts_to | circular_single-stranded_rnas
go:0000178 | has_activity | 3-prime_to_5-prime_exoribonuclease_activity
go:0000178 | requires_cofactor | unwinding
go:0000178 | produces | 5-prime-phosphomonoesters
go:0000178 | participates_in | cellular_rna_degradation
go:0000178 | has_activity | endoribonuclease_activity
go:0000178 | requires_cofactor | pre-processing
go:0000178 | restricts_to | linear_single-stranded_rnas
go:0000178 | requires_cofactor | cofactors
go:0000178 | participates_in | cellular_rna_processing
dimethylation | of | two_adjacent_adenine_residues
dimethylation | uses | s-adenosyl-l-methionine
go:0000179 | catalysis_of | dimethylation
s-adenosyl-l-methionine | as | methyl_donor
two_adjacent_adenine_residues | in | rrna
dna_sequence | encodes | ribosomal_rna
go:0000182 | binds_to | dna_sequence
heterochromatin_formation | occurs_at | ribosomal_dna
go:0000183 | associated_with | heterochromatin_formation
heterochromatin_formation | characterized_by | histone_h3k9me3_modification
go:0000184 | degrades | mrnas
nonsense_codon | prevents_translation_of | truncated_proteins
nonsense_mediated_decay_pathway | degrades | mrnas
go:0000196 | preserves | cell_integrity
go:0000196 | ensures_maintenance_and_regulation_of | cellular_structure
go:0000196 | coordinates | cellular_responses
go:0000196 | responds_to | plasma_membrane_stretching
go:0000196 | responds_to | external_signals
go:0000196 | contains | slt2_s.cerevisiae_map_kinase
go:0000196 | contains | pmk1_s.pombe_map_kinase
slt2_s.cerevisiae_map_kinase | is_ortholog_of | pmk1_s.pombe_map_kinase
go:0000196 | responds_to | cell_wall_alteration
addition_of_multiple_ubiquitin_groups_to_a_protein | forms | ubiquitin_chain
go:0000209 | definition | addition_of_multiple_ubiquitin_groups_to_a_protein
go:0000210 | has_product | amp
go:0000210 | has_reactant | nad+
go:0000210 | has_product | nmn
go:0000210 | has_reactant | h2o
go:0000212 | occurs_at_level | cellular_level
assembly_arrangement_disassembly_of_microtubule_spindle | occurs_during | meiotic_cell_cycle
go:0000212 | results_in | assembly_arrangement_disassembly_of_microtubule_spindle
go:0000213 | has_reactant | 3'-half-tRNA_molecule_with_a_5'-OH_end
go:0000213 | has_product | intron_with_a_2',3'-cyclic_phosphate_and_a_5'-hydroxyl_terminus
go:0000213 | has_product | 5'-half-tRNA_molecule_with_a_2',3'-cyclic_phosphate_end
go:0000213 | has_product | 3'-half-tRNA_molecule_with_a_5'-OH_end
go:0000213 | has_reactant | 5'-half-tRNA_molecule_with_a_2',3'-cyclic_phosphate_end
go:0000214 | removes | intron
pre-trna | is_cleaved_by | go:0000214
endonucleolytic_cleavage | produces | 5'-hydroxyl_termini
protein_complex | catalyzes | endonucleolytic_cleavage
endonucleolytic_cleavage | produces | 2',3'-cyclic_phosphate_termini
go:0000214 | catalyzes | endonucleolytic_cleavage
go:0000215 | has_product | h2o
go:0000215 | catalyzes | transfer_of_the_splice_junction_2-phosphate_from_ligated_tRNA_to_nad+
go:0000215 | has_product | nicotinamide
go:0000215 | has_product | mature_tRNA
go:0000215 | has_reactant | 2'-phospho-[ligated_tRNA]
go:0000215 | has_product | adp_ribose_1'',2''-phosphate
go:0000215 | has_reactant | nad+
go:0000217 | binding_to | dna_secondary_structure_element
dna_secondary_structure_element | example_of | y-form_dna
dna_secondary_structure_element | example_of | loop
dna_secondary_structure_element | example_of | bubble
dna_secondary_structure_element | example_of | double-strand/single-strand_junction
dna_secondary_structure_element | example_of | four-way_junction
v0_domain_of_a_proton-transporting_v-type_atpase | found_in | vacuolar_membrane
v0_domain | part_of | proton-transporting_v-type_atpase
go:0000220 | definition_of | v0_domain_of_a_proton-transporting_v-type_atpase_found_in_the_vacuolar_membrane
proton-transporting_v-type_atpase | part_of | vacuolar_membrane
go:0000221 | part_of | v1_domain
proton-transporting_v-type_atpase | located_in | vacuolar_membrane
v1_domain | part_of | proton-transporting_v-type_atpase
v0_domain | part_of | proton-transporting_v-type_atpase
go:0000222 | part_of | v0_domain
v0_domain | located_in | plasma_membrane
go:0000223 | part_of | v1_domain_of_proton-transporting_v-type_atpase
v1_domain_of_proton-transporting_v-type_atpase | located_in | plasma_membrane
go:0000224 | has_reactant | 4-n-(n-acetyl-d-glucosaminyl)-protein
go:0000224 | has_product | n-acetyl-beta-d-glucosaminylamine
go:0000224 | has_product | peptide_l-aspartate
go:0000224 | has_reactant | h2o
go:0000225 | has_product | d-glucosaminylphosphatidylinositol
go:0000225 | has_reactant | h2o
go:0000225 | has_reactant | n-acetyl-d-glucosaminylphosphatidylinositol
go:0000225 | has_product | acetate
go:0000225 | is_step_in_biosynthesis_of | glycosylphosphatidylinositol
go:0000226 | results_in | arrangement_of_cytoskeletal_structures
go:0000226 | results_in | disassembly_of_cytoskeletal_structures
cytoskeletal_structures | comprises | microtubules
cytoskeletal_structures | comprises | associated_proteins
go:0000226 | results_in | assembly_of_cytoskeletal_structures
nucleus | part_of | eukaryotic_cell
go:0000228 | encodes | nuclear_genome
nucleus | present_during | cell_cycle_phases
chromosome | found_in | nucleus
go:0000234 | has_reactant | ethanolamine_phosphate
go:0000234 | has_product | n-methylethanolamine_phosphate
go:0000234 | has_product | s-adenosyl-l-homocysteine
go:0000234 | has_reactant | s-adenosyl-l-methionine
spindle_microtubules | radiate_from | spindle_poles
forces | position | poles
forces | separate | poles
spindle_microtubules | contribute_to | forces
poles | related_to | rest_of_the_cell
go:0000235 | part_of | spindle_microtubules
go:0000237 | part_of | prophase_i
go:0000237 | is_a | cell_cycle_phase
chromosomes | become_visible_during | go:0000237
prophase_i | part_of | meiosis
chromosome | becomes_aligned | with_homolog
chromosome | pairs_with | homolog
go:0000238 | involves | chromosome_pairing
go:0000238 | involves | crossing_over
go:0000238 | follows | leptotene
go:0000238 | occurs_during | prophase_i_of_meiosis
go:0000239 | follows | zygotene
prophase_i | part_of | meiosis
zygotene | part_of | prophase_i
crossing_over | occurs_between | chromatid_in_one_partner
crossing_over | occurs_during | go:0000239
crossing_over | occurs_between | chromatid_in_homologous_chromosome
prophase_i_of_meiosis | involves | dissolution_of_synaptonemal_complex
pachytene | occurs_during | prophase_i_of_meiosis
prophase_i_of_meiosis | involves | separation_of_homologous_chromosomes
go:0000240 | follows | pachytene
diplotene | part_of | prophase_i_of_meiosis
go:0000241 | follows | diplotene
prophase_i_of_meiosis | has_event | separation_of_homologous_chromosomes
prophase_i_of_meiosis | has_event | crossing_over
go:0000242 | is_a | network_of_small_fibers
go:0000242 | surrounds | centrioles
go:0000242 | contains | microtubule_nucleating_activity
u1_snrnp | associates_with | 5'_splice_site
5'_splice_site | part_of | unspliced_intron
go:0000243 | is_a | spliceosomal_complex
spliceosomal_complex | formed_by_association_of | u1_snrnp
unspliced_intron | part_of | rna_transcript
u6_snrna | part_of | tri-snrnp_complex
associated_proteins | part_of | tri-snrnp_complex
u4_snrna | part_of | tri-snrnp_complex
u5_snrna | part_of | tri-snrnp_complex
u5_snrnp | associates_with | u4/u6_snrnp
u4_snrna | reanneals_with | u6_snrna
go:0000244 | formation_of | tri-snrnp_complex
u5_snrnp | associates_with | u4atac/u6atac_snrnp
u4atac_snrna | reanneals_with | u6atac_snrna
tri-snrnp | reassembles_into | spliceosome_complex
u4/u6_snrnp | forms | tri-snrnp
u4atac/u6atac_snrnp | forms | tri-snrnp
ribonucleoprotein_apparatus | catalyzes | nuclear_mrna_splicing
nuclear_mrna_splicing | via | transesterification_reactions
go:0000245 | definition_of | aggregation_arrangement_and_bonding_together_of_a_spliceosomal_complex
spliceosomal_complex | is_a | ribonucleoprotein_apparatus
go:0000246 | has_reactant | ergosterol
go:0000246 | has_reactant | nadp+
go:0000246 | has_product | h+
go:0000246 | has_product | ergosta-5,7,22,24(24(1))-tetraen-3beta-ol
go:0000246 | has_product | nadph
go:0000247 | has_product | episterol
go:0000247 | has_reactant | fecosterol
go:0000248 | has_reactant | 5,7,24(28)-ergostatrienol
go:0000248 | has_reactant | o2
go:0000248 | has_product | 5,7,22,24(28)-ergostatetraenol
go:0000248 | has_product | h2o
go:0000248 | has_reactant | nadph
go:0000248 | has_product | nadp+
go:0000249 | has_product | ergosta-5,7,22,24(28)-tetraen-3beta-ol
go:0000249 | has_reactant | nadph
go:0000249 | has_product | 2_h2o
go:0000249 | has_reactant | 5-dehydroepisterol
go:0000249 | has_reactant | o2
go:0000249 | has_reactant | h+
go:0000249 | has_product | nadp+
go:0000250 | is_a | cyclization_reaction
go:0000250 | has_product | lanosterol
go:0000250 | has_reactant | (S)-2,3-epoxysqualene
go:0000250 | forms | sterol_nucleus
go:0000252 | has_product | co2
go:0000252 | has_reactant | a_3-beta-hydroxysteroid-4-alpha-carboxylate
go:0000252 | has_product | a_3-oxosteroid
go:0000252 | has_product | nadph
go:0000252 | has_reactant | nadp+
go:0000253 | has_reactant | a_3-betahydroxyl_sterol
go:0000253 | has_product | nadph
go:0000253 | has_reactant | nadp+
go:0000253 | has_product | a_3-oxosterol_sterol
go:0000253 | has_product | h+
go:0000254 | has_product | 4_h2o
go:0000254 | has_reactant | 6_fe(ii)-[cytochrome_b5]
go:0000254 | has_reactant | 5_h+
go:0000254 | has_product | 6_fe(iii)-[cytochrome_b5]
go:0000254 | has_reactant | 3_o2
go:0000254 | has_product | 4alpha-carboxy-4beta-methyl-5alpha-cholest-7-ene-3beta-ol
go:0000254 | has_reactant | 4,4-dimethyl-5alpha-cholest-7-en-3beta-ol
go:0000255 | definition_of | allantoin
allantoin | chemical_name | (2,5-dioxo-4-imidazolidinyl)urea
allantoin | intermediate_of | purine_catabolism
allantoin | end_product_of | purine_catabolism
allantoin | is_a | (2,5-dioxo-4-imidazolidinyl)urea
go:0000256 | involves_breakdown_of | allantoin
go:0000257 | acts_on | indole-3-yl-acetonitrile
go:0000257 | acts_on | nitrile
go:0000257 | acts_on | aliphatic_nitriles
go:0000257 | has_product | nh3
go:0000257 | has_product | carboxylate
go:0000257 | acts_on | acid_amides
go:0000257 | has_reactant | h2o
go:0000262 | part_of | mitochondrion
mitochondrion | located_in | eukaryotic_cell
mitochondrion | contains | chromosome
mitochondrial_division | results_in | mitochondrial_compartments
mitochondrial_division | occurs_in | cell
go:0000266 | is_a | mitochondrial_division
go:0000268 | binding_to | peroxisomal_targeting_sequence
localization_of_protein | into | peroxisome
peroxisomal_targeting_sequence | signal_for | localization_of_protein
outer_membranes | found_in | mitochondria
beta-strands | form | beta-barrel
porins | consist_of | beta-strands
outer_membranes | found_in | plastids
outer_membranes | found_in | acid-fast_gram-positive_bacteria
porins | found_in | outer_membranes
go:0000269 | enables | energy_independent_passage_of_toxins
outer_membranes | found_in | gram-negative_bacteria
go:0000270 | involves | peptidoglycans
glycan_strands | composed_of | n-acetylmuramic_acid
glycan_strands | cross-linked_by | peptides
peptidoglycans | consists_of | glycan_strands
peptidoglycans | found_in | bacterial_cell_walls
glycan_strands | composed_of | n-acetylglucosamine
go:0000271 | results_in_formation_of | polysaccharide
monosaccharide_residues | linked_by | glycosidic_link
polymer | is_composed_of | monosaccharide_residues
monosaccharide_residues | are_linked_by | glycosidic_linkage
polysaccharide | is_a | polymer
go:0000272 | results_in_breakdown_of | polysaccharide
go:0000277 | has_reactant | s-adenosyl-l-methionine
go:0000277 | has_reactant | cytochrome_c_l-lysine
go:0000277 | involves | addition_of_a_methyl_group
go:0000277 | has_product | s-adenosyl-l-homocysteine
go:0000277 | has_product | cytochrome_c_n6-methyl-l-lysine
mitotic_cell_cycle | includes | cell_division
nuclear_division | may_not_be_followed_by | cell_division
mitotic_cell_cycle | is_a | eukaryotic_cell_cycle
go:0000278 | comprises_phase | g2
go:0000278 | includes | chromosome_segregation
go:0000278 | includes | genome_replication
nuclear_replication | may_not_be_followed_by | cell_division
go:0000278 | comprises_phase | g1
go:0000279 | is_a | cell_cycle_phase
go:0000279 | comprises | telophase
nuclear_division | occurs_during | go:0000279
go:0000279 | comprises | metaphase
go:0000279 | comprises | anaphase
go:0000279 | comprises | prophase
go:0000280 | has_part | nuclear_contents
go:0000280 | has_part | dna
go:0000280 | is_a | cell_nucleus_division
daughter_nuclei | has_part | dna
go:0000280 | results_in | daughter_nuclei
daughter_nuclei | has_part | nuclear_contents
go:0000282 | occurs_in | saccharomyces_cerevisiae
go:0000282 | is_defined_as | specification_of_site_where_daughter_cell_will_form
go:0000285 | has_reactant | atp
go:0000285 | has_product | adp
go:0000285 | has_product | h+
go:0000285 | has_reactant | a_1-phosphatidyl-1d-myo-inositol_3-phosphate
go:0000285 | has_product | a_1-phosphatidyl-1d-myo-inositol_3,5-bisphosphate
go:0000286 | has_reactant | l-alanine
go:0000286 | has_product | h+
go:0000286 | has_product | nh3
go:0000286 | has_reactant | nad+
go:0000286 | has_product | pyruvate
go:0000286 | has_product | nadh
go:0000286 | has_reactant | h2o
go:0000287 | binding_to | magnesium_ion
nuclear-transcribed_mrnas | includes | poly(a)_tail_shortening
go:0000288 | degradation_pathway_of | nuclear-transcribed_mrnas
poly(a)_tail_shortening | regulates | mrna_stability
poly(a)_tail | part_of | nuclear-transcribed_mrna
go:0000289 | shortens | poly(a)_tail
go:0000290 | definition_of | cleavage_of_the_5'_cap_of_a_nuclear_mrna
cleavage_of_the_5'_cap_of_a_nuclear_mrna | triggered_by | shortening_of_the_poly(a)_tail
shortening_of_the_poly(a)_tail | to_below | minimum_functional_length
rna_fragment | includes | excised_introns
chemical_reactions_and_pathways | results_in | breakdown_of_rna_fragment
go:0000292 | is_a | chemical_reactions_and_pathways
rna_fragment | includes | sequences_removed_from_ribosomal_rna
breakdown_of_rna_fragment | occurs_during | rna_processing
go:0000293 | has_product | 2_fe2+_siderophore
